RE:FORM  요구사항 정의서,,,,,,,,,
구분,요구사항 ID,대분류,중분류,소분류,요구사항명,요구사항 상세,비고,,
기능,REQ-PAY-006,결제/정산,출금,출금 요청,포인트 출금 요청,- 판매자가 출금 가능 포인트에 대해 출금 요청,Mock 처리로 대체,,
기능,REQ-PAY-007,결제/정산,출금,출금 승인,"관리자 출금
승인·반려·완료 처리","- 관리자가 출금 요청을 검토, 승인, 반려, 완료 처리",* 실제 운영 시 PG 지급대행 API 연동으로 전환 가능한 구조로 설계 *,,
기능,REQ-COM-001,커뮤니티,게시판,게시글 CRUD,커뮤니티 게시글 작성·수정·삭제,"- 제목, 본문, 카테고리, 이미지(선택)를 입력하여 커뮤니티 게시글 작성
- 작성자만 수정·삭제 가능",,,
기능,REQ-COM-002,커뮤니티,게시판,카테고리,커뮤니티 카테고리 분류,"- 자유, 직관 동행, 경기 이야기, 굿즈·유니폼 반응, 이벤트, 분실물, 질문, 정보 공유 카테고리 제공",,, 
기능,REQ-COM-003,커뮤니티,댓글,댓글·대댓글,댓글 및 대댓글 작성·수정·삭제,"- 게시글에 댓글과 대댓글을 작성, 수정, 삭제 가능
- 삭제된 댓글은 '삭제된 댓글입니다'로 표시",,,
기능,REQ-COM-004,커뮤니티,반응,좋아요,게시글·댓글 좋아요,"- 게시글과 댓글에 좋아요를 누를 수 있음
- 중복 클릭 시 취소",,,
기능,REQ-COM-005,커뮤니티,인기,인기글,지역별 인기글 노출,"- 최근 24시간 내 조회수·좋아요·댓글 수 기반 지역별 인기글 산정하여 노출
- Spring Batch로 주기 집계",,,
기능,REQ-SRC-001,검색,기본,키워드 검색,판매글 키워드 검색,"- 유니폼명, 구단명, 본문 내용 대상으로 키워드 검색 제공",,,
기능,REQ-SRC-002,검색,필터,유니폼 필터,스포츠 특화 복합 필터,"- 종목, 구단, 마킹 여부, 시즌, 상태 등급, 가격 범위, 지역을 복합 적용하여 필터링",,,
기능,REQ-SRC-003,검색,정렬,정렬,검색 결과 정렬,"- 최신순, 인기순(찜+조회), 가격 순 정렬",,,
